Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
2019,1,-0.010969445681444688,0.8181818181818192,0.14360313315926887,2,3,3,1,1,2.371449240653757,2.021436099146718,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,400,1.5528895592019074,1.1060997183976604,835.1996607940018,0.4275985507655644
2014,1,-0.6267979751660662,0.8181818181818192,0.7493472584856398,2,1,1,1,2,1.8408668308559482,-0.7044954892987021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0.1711880036660317,0.2629476326042197,832.9530120444088,-0.48507504365594456
2011,14,-0.3958622766093331,0.8181818181818192,0.10182767624020883,1,1,1,1,1,2.0095717551126686,-0.7026484247626902,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0.24206148640618502,0.06342956957581189,832.5589706424735,-0.26613945095879993
2006,12,0.296944819060866,0.8181818181818192,0.2898172323759791,8,8,1,4,4,2.371449240653757,0.11382382463633428,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,866,0.7402257023331273,2.7582849940774823,827.7394630092368,-0.3297013972257129
2006,1,1.1052197640094317,0.8181818181818192,0.6866840731070496,10,9,5,1,1,2.371449240653757,1.7361133260141415,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,775,1.4313389126870497,3.3649871058632383,826.9444873441539,0.24397515043892695
2002,8,1.066730480916643,0.8181818181818192,0.6866840731070496,5,2,1,1,1,1.8882659139586313,-0.3059411653795072,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0.3606679688793603,1.197180481655192,827.3050052526436,-0.4638877282336402
2000,14,1.259176896380587,0.8181818181818192,0.31070496083550925,6,5,1,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,305,2.1919728123288595,2.1913397404306085,825.928867162045,-0.07753218001223028
1998,8,-0.1264372949598112,0.8181818181818192,0.20626631853785904,2,3,1,1,1,2.371449240653757,-0.8348634119429422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.33607448201317064,1.0633783178848057,826.4894353756933,-0.3014516433293072
1995,1,-0.6267979751660662,0.8181818181818192,0.5195822454308094,3,3,2,1,1,2.371449240653757,-0.4947989467012311,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,901,0.7744028060147945,0.8782522489957705,824.5601494826493,0.30047465823173847
1994,1,-0.4728408427949108,0.8181818181818192,0.24804177545691908,2,1,3,1,1,2.371449240653757,-0.573368494552745,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0.7137000046190876,0.31990949995469214,824.8216182766554,0.28099596892671386
1994,12,-1.3196050708362652,0.8181818181818192,0.7493472584856398,1,1,1,1,1,2.371449240653757,2.021436099146718,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,831,1.9257470070331304,-0.3329373498791913,825.0144686718701,-0.48507504365594456
1991,12,0.5663698007103879,0.8181818181818192,0.4778067885117494,5,3,2,1,2,2.371449240653757,2.021436099146718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,741,2.112572477719135,1.319706720961932,822.2378540635589,-0.13403168780504177
1988,12,1.259176896380587,0.8181818181818192,0.5822454308093994,3,1,1,1,1,-0.07916282750770234,-0.7270331710457603,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,569,-0.6360685878792782,0.9607305076475071,821.9010247647916,-0.428575535863133
1988,12,-1.2811157877434765,0.8181818181818192,0.8746736292428199,3,1,1,1,1,-0.061541001637941344,0.005287353286562002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,357,-0.3167711774843665,-0.3186968830415732,821.8155046417297,-0.5274496745005532
1985,12,-0.24190514423817772,0.8181818181818192,0.7284595300261096,5,2,3,2,1,2.371449240653757,2.021436099146718,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,2.219204120254629,0.4280437451220598,819.6811511930337,-0.47801260518184313
1968,12,1.6440697273084754,0.8181818181818192,0.5822454308093994,6,3,1,2,1,0.20512518290372175,-0.8634724634191049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,583,-0.2826317772011253,1.7184397924152393,812.3481551950488,-0.428575535863133
1960,1,-0.5113301258876997,0.8181818181818192,0.9373368146214098,14,1,1,3,1,1.3937189154221337,-0.3176555534659936,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,622,0.44368049008316696,0.30566903311707405,806.21745889042,-0.1781149447669301
1942,12,-0.7807551075372214,0.8181818181818192,1.0000000000000002,2,9,2,1,1,1.0698449009250355,-0.9513839870385509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,153,-0.2543018333303101,2.6672042308199506,803.078910186976,-0.5698243053451619
1936,3,-1.3580943539290542,0.8181818181818192,0.9164490861618801,6,6,2,1,1,-0.1299695331599542,-0.969005683639553,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,534,-0.7602586349037506,1.245679439614236,799.262119318095,-0.5415745514487562
1931,3,-1.3580943539290542,0.8181818181818192,0.9791122715404701,6,6,1,1,1,-0.3273355605043096,-0.9719530978830374,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,172,-0.8435078200894106,1.245679439614236,797.1742936541883,-0.5627618668710604
2018,1,0.14298768668971068,0.7272727272727284,0.4778067885117494,1,1,1,1,1,-0.7422609340052803,-0.9383610578342347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,-1.0015734423089138,0.526956821927798,835.0274798463162,-0.36751778089289755
2017,12,0.10449840359692184,0.7272727272727284,0.5613577023498695,1,2,1,1,1,-0.8547558622244371,-0.051663118485752925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,78,-0.6705651316525603,0.8203686632859553,834.9079817855627,-0.39576753478930327
2017,14,0.9512626316382763,0.7272727272727284,0.5613577023498695,1,1,3,1,1,-0.8772800895167838,-0.051743534705803514,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,955,-0.41373102806439765,0.8260066255177784,834.5891455407913,0.2008049544149206
2016,12,-0.6267979751660662,0.7272727272727284,0.5613577023498695,1,1,1,1,1,-0.2208512998378644,-0.86969737840516,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,423,-0.7557080366825155,-0.09740909423084917,834.1752455561411,-0.39576753478930327
2016,12,1.4901125949373202,0.7272727272727284,0.5613577023498695,2,7,1,1,2,-0.37213948661901086,-0.7188217221010905,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,-0.48805855874964965,2.8712870104190844,834.1546254804489,-0.13653587910171916
2018,12,-0.2034158611453889,0.7272727272727284,0.7284595300261096,1,1,1,1,1,0.49014283471754194,2.021436099146718,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,1.7038617859350116,0.05923604098295002,834.6976759683425,-0.1930353868945307
2019,14,2.2598982567930967,0.7272727272727284,0.5404699738903394,4,4,3,1,3,2.205174811068532,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2.1228959218306014,2.2331394225841206,834.4046851289189,-0.12947344062761773
2018,14,1.028241197823854,0.7272727272727284,0.33159268929503916,4,4,3,1,3,2.3018897649580303,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,2.456532203286412,1.7774444837803407,833.7953700311068,-0.05884905588660333
2017,12,-0.6652872582588549,0.7272727272727284,0.6031331592689295,2,1,1,1,1,0.5258794874046289,2.021436099146718,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,175,1.452482381559725,-0.11164956106846732,833.980971144541,-0.4098924117375062
2012,1,1.6440697273084754,0.7272727272727284,0.6031331592689295,8,2,1,1,2,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,227,1.5528895592019074,1.3899873367906797,830.1312342138569,-0.4098924117375062
2012,14,1.6055804442156867,0.7272727272727284,0.5404699738903394,8,8,2,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,2.485429925550358,3.2216607191277142,829.8930590391639,-0.12947344062761773
2009,14,1.8365161427724197,0.7272727272727284,0.31070496083550925,4,7,3,1,2,0.3691998422609123,-0.838688356254532,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-0.4973675675191621,2.7144903479035305,830.3328796648236,-0.31101827310008606
