Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
2006,1,0.5663698007103879,1.7139109764655314,0.9872930673202743,1,1,1,1,2,0.4253625102075096,-0.7414422630474359,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,834,-0.43260749462770764,0.9093463886045601,829.9116816456267,-0.4486774275656976
2003,1,-0.8192443906300103,1.7139109764655314,-0.12180430870212691,4,1,1,1,1,1.0436488025752253,-0.9578711258165231,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,576,-0.0017225027854840813,0.396689582450309,827.9759663480047,-0.18496619849414747
2000,14,-0.3573729935165442,1.7139109764655314,0.1554700353034734,8,1,1,1,1,2.371449240653757,-0.44972151684189793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,519,0.7936062880308767,0.5675751845017261,825.0388517924202,-0.16742621366077765
1997,12,0.4509019514320214,1.7139109764655314,-0.214229090037327,11,1,1,1,1,0.3641751766033305,-0.9237489505647747,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0.39684860570585634,0.5270684086854213,822.8869007496519,-0.15371606361582302
1984,1,2.5293232384426187,1.7139109764655314,0.06304525396827329,6,11,1,1,1,0.23873207149732817,-0.8634724634191049,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,582,-0.5621272766666263,4.712133279280829,819.3788950624383,-0.1693572904217409
1981,1,-0.2803944273309666,1.7139109764655314,0.6175939419794739,13,5,1,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,2.485429925550357,1.8266653509600612,815.3423231410328,-0.43496727752074305
1980,1,0.9127733485454874,1.7139109764655314,-1.138476903389328,9,4,1,1,1,2.371449240653757,-0.07179135910182717,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,880,0.6611515879936305,1.9604675147304471,817.0563092483095,-0.10044637052016259
1979,8,0.9512626316382763,1.7139109764655314,1.4494169739962748,5,2,2,2,2,1.4023444600007298,0.7354032582778476,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,64,0.602421426722964,1.3594033651765156,817.2434094375021,-0.9754501471132471
1979,8,-0.2034158611453889,1.7139109764655314,0.9872930673202743,6,2,1,1,1,2.117818987167606,0.6418744333413909,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,41,1.1532702849594025,0.932189360047973,816.7825995424056,-0.8191994727216247
1971,12,-0.010969445681444688,1.7139109764655314,0.06304525396827329,1,1,2,1,1,-0.8698969073260514,-0.051720342173254684,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,57,-0.676879690915529,0.6957393860402887,815.6954768643055,-0.5066981239383803
1963,1,0.7973054992671209,1.7139109764655314,0.06304525396827329,10,7,1,2,1,-0.8537895803672099,-0.05165899811291328,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,739,-0.6701619451148128,2.840703038804917,809.3291701029309,-0.1693572904217409
1964,1,-1.0501800891867434,1.7139109764655314,1.7266913180018753,9,2,1,2,1,0.7873790220158114,-0.9667008271422447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,-0.0847172182597456,0.3339382255662584,809.3394950661165,-1.0692005517482204
1957,12,-0.24190514423817772,1.7139109764655314,0.06304525396827329,9,1,1,1,1,-0.5599412955806066,-0.8050926949518346,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,979,-0.8690569539209163,0.6102965850145803,807.185226515494,-0.1693572904217409
1957,1,-1.3196050708362652,1.7139109764655314,1.0797178486554744,9,3,1,1,1,-0.28689765078124346,-0.026387537595245387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,600,-0.42388698161916494,0.8268681299528233,806.8879023659179,-0.8504496075999493
1954,12,-0.3958622766093331,1.7139109764655314,2.0039656620074755,14,8,3,1,1,0.7621373735004868,-0.22018218054411196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,634,0.22282158779682765,2.706900875034531,803.4221252128666,-0.7924289112272666
1950,7,-0.4728408427949108,1.7139109764655314,0.06304525396827329,9,4,1,1,1,-0.1940557123358151,-0.015295787101364984,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,727,-0.3805916072517412,1.447810708576196,804.2879266229432,-0.5066981239383803
1940,7,0.10449840359692184,1.7139109764655314,0.06304525396827329,6,6,2,1,1,-0.18806870882858653,-0.9664435953613464,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,798,-0.783303823202028,1.9917614634779,801.1672957378332,-0.5066981239383803
